,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
2626,2019,450000,12000,Petrol,Individual,Manual,First Owner,Tata,Tiago 2019-2020,XZ
2627,2013,350000,90000,Petrol,Individual,Manual,First Owner,Maruti,Swift,ZXI
2628,2011,130000,68519,Petrol,Dealer,Manual,First Owner,Chevrolet,Spark 1.0,LT
2629,2012,180000,55130,Diesel,Dealer,Manual,First Owner,Chevrolet,Beat Diesel,LS
2630,2014,475000,65239,Petrol,Dealer,Manual,First Owner,Ford,Ecosport 1.0 Ecoboost Titanium,Optional
2631,2015,470000,58182,Petrol,Dealer,Manual,First Owner,Volkswagen,Polo 1.2 MPI,Comfortline
2632,2012,200000,91245,Diesel,Dealer,Manual,First Owner,Ford,Fiesta Diesel,Trend
2633,2013,650000,102989,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W8,2WD
2634,2010,400000,50000,Petrol,Individual,Manual,First Owner,Honda,City 1.5 E,MT
2635,2000,100000,120000,Petrol,Individual,Manual,First Owner,Maruti,Zen,VXI
2636,2014,409999,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2637,2018,640000,25000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
2638,2007,160000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
2640,2018,750000,70000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Zeta,1.3
2641,2002,150000,50000,Diesel,Individual,Manual,Third Owner,Mahindra,Jeep MM 550,XDB
2642,2008,80000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,STD
2643,2016,240000,90000,Diesel,Individual,Manual,Third Owner,Maruti,Celerio,VDi
2644,2005,60000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Esteem,Lxi
2645,2007,70000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LX
2646,2008,285000,90000,Diesel,Individual,Automatic,Second Owner,Volkswagen,Jetta 1.9 Highline,TDI
2647,2015,350000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI,BSIV
2648,2015,699000,30000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 Active 1.4 SX with,AVN
2649,2011,275000,108000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,ZXI
2650,2012,350000,160000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 CRDi,Magna
2651,2006,135000,90000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LXi,BSIII
2652,2010,325000,120000,Diesel,Individual,Manual,Third Owner,Mahindra,Xylo E4,8S
2653,2012,650000,102000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500 W8,2WD
2654,2009,300000,178000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero,SLE
2655,2014,1200000,200000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 VX (Diesel) 8,Seater
2656,2012,450000,60000,Petrol,Dealer,Manual,First Owner,Ford,Fiesta Petrol,Trend
2657,2019,425000,3000,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron,XE
2658,2006,150000,75118,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
2659,2013,290000,140000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,LDi
2660,2014,335000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,Xcent 1.2 Kappa,Base
2661,2006,120000,79000,Petrol,Dealer,Manual,Fourth & Above Owner,Chevrolet,Optra,1.6
2662,2005,20000,25000,Petrol,Individual,Manual,Second Owner,Ford,Ikon 1.6 ZXI,NXt
2666,2012,220000,70000,Diesel,Individual,Manual,Second Owner,Tata,Indigo,LS
2667,2005,61000,4637,Petrol,Individual,Manual,Second Owner,Ford,Ikon 1.3,Flair
2668,2016,620000,70000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
2669,2014,425000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire LDIX Limited,Edition
2670,2009,85000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.3,Quadrajet
2671,2015,270000,40000,Diesel,Individual,Manual,Second Owner,Maruti,Swift 1.3,DLX
2672,2009,180000,220000,Diesel,Individual,Manual,First Owner,Maruti,Swift Vdi,BSIII
2676,2017,450000,30000,Petrol,Individual,Manual,First Owner,Mahindra,KUV 100 mFALCON G80,K2
2677,2012,450000,42655,Diesel,Individual,Manual,First Owner,Tata,New Safari DICOR 2.2 VX,4x4
2678,2017,250000,43000,Petrol,Individual,Manual,Second Owner,Renault,KWID 1.0,RXL
2679,2012,725000,70000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX 8 STR,BSIV
2680,2010,250000,55000,Petrol,Individual,Manual,First Owner,Hyundai,i20,Magna
2681,2010,99000,80000,Diesel,Individual,Manual,Second Owner,Fiat,Punto 1.3,Active
2682,2017,350000,55000,Petrol,Individual,Manual,First Owner,Renault,KWID,1.0
2683,2018,511000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 VTVT E,Plus
2684,2012,300000,80000,Diesel,Individual,Manual,First Owner,Maruti,Ritz,VDi
2685,2010,1100000,110000,Petrol,Individual,Automatic,First Owner,Audi,Q5 2.0 TFSI,Quattro
2686,2010,125000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Sportz,1.2
2687,2018,500000,30000,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron,XZ
2688,2013,385000,80000,Diesel,Individual,Manual,Second Owner,Renault,Duster 85PS Diesel,RxL
2689,2012,350000,90000,Petrol,Individual,Manual,First Owner,Skoda,Rapid 1.6 MPI,Elegance
2690,2003,60000,50000,Petrol,Individual,Manual,First Owner,Maruti,800 Std,BSIII
2691,2012,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing,GLS
2692,2012,400000,70000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4 CRDi,Asta
2693,2014,550000,110000,Diesel,Individual,Manual,First Owner,Ford,Ecosport 1.5 DV5 MT,Titanium
2694,2012,300000,80000,Petrol,Individual,Manual,Second Owner,Nissan,Sunny,XL
2695,2012,250000,156000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
2696,2012,800000,180000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX 7,STR
2697,2018,300000,25000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 5 Seater AC,BSIV
2698,2004,80000,120000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
2699,2020,1200000,11000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S5,BSIV
2700,2017,355000,40000,Petrol,Individual,Automatic,First Owner,Renault,KWID,AMT
2701,2015,520000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2702,2012,500000,26000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6,CRDI
2703,2008,114999,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
2704,2014,1800000,50000,Diesel,Individual,Manual,First Owner,Toyota,Fortuner 4x2,Manual
2705,2018,800000,20000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300 T6,Plus
2706,2008,105000,30000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,BSIII
2707,2011,135000,78000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
2708,2011,170000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
2709,2014,550000,100000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX,VTVT
2710,2009,250000,70000,Petrol,Individual,Manual,Third Owner,Honda,City 1.5 V,MT
2711,2014,650000,30000,Diesel,Individual,Manual,Second Owner,Hyundai,Elantra CRDi,SX
2712,2008,210000,77000,Petrol,Individual,Automatic,Third Owner,Honda,City 1.5 V AT,Exclusive
2713,2011,260000,150000,Diesel,Individual,Manual,First Owner,Volkswagen,Vento Diesel,Highline
2714,2016,750000,69000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,ZDI
2715,2016,1350000,120000,Diesel,Individual,Automatic,First Owner,Toyota,Innova Crysta 2.8 GX AT,BSIV
2716,2012,220000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,VDi
2717,2008,110000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,Getz 1.3,GLS
2718,2017,1230000,70000,Diesel,Individual,Automatic,First Owner,Mahindra,XUV500 AT W8,FWD
2719,2013,220000,110000,Diesel,Individual,Manual,First Owner,Mahindra,Quanto,C6
2720,2009,130000,50000,Diesel,Individual,Manual,First Owner,Tata,Indigo LX,Dicor
2721,2012,330000,44000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2,Magna
2722,2010,254999,90000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5 S,MT
2723,2014,600000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX VTVT,(O)
2724,2012,210000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i10,Magna
2725,2014,300000,146000,Diesel,Individual,Manual,First Owner,Chevrolet,Enjoy TCDi LT 7,Seater
2726,2018,426000,15000,Petrol,Individual,Automatic,First Owner,Tata,Tiago 1.2 Revotron,XTA
2727,2015,265000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,VXI
2728,2016,450000,35000,Petrol,Individual,Manual,Second Owner,Hyundai,Xcent 1.2 Kappa,SX
2729,2012,480000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6,SX
2730,2010,40000,90000,Petrol,Individual,Manual,First Owner,Tata,Nano,Lx
2731,2011,395000,70000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5 S,MT
2732,2013,229999,62000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
2733,2018,875000,10000,Petrol,Individual,Automatic,First Owner,Ford,Ecosport 1.5 Petrol Titanium Plus,AT
2734,2010,170000,80000,CNG,Individual,Manual,Fourth & Above Owner,Maruti,Eeco 5 STR With AC Plus HTR,CNG
2735,2015,500000,35000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Sportz,1.2
2755,2019,450000,40000,Petrol,Individual,Manual,First Owner,Maruti,Ignis 1.2 Sigma,BSIV
2757,2012,550000,120000,Diesel,Individual,Manual,Third Owner,Maruti,Ertiga,VDI
2758,2013,200000,60000,Petrol,Individual,Manual,First Owner,Tata,Manza Aura Safire BS,IV
2759,2008,80000,90000,Petrol,Individual,Manual,Second Owner,Tata,Indica GLS BS,IV
2760,2010,300000,250000,Diesel,Individual,Manual,Second Owner,Tata,New Safari DICOR 2.2 EX,4x2
2761,2019,675000,15000,Diesel,Individual,Manual,First Owner,Ford,Aspire Titanium Plus Diesel,BSIV
2762,2017,260000,30000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 7 Seater Standard,BSIV
2766,2001,70000,117000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LXI
2767,2004,100000,70000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
2768,2012,730000,110000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 VX (Diesel) 7,Seater
2769,2016,525000,100000,Diesel,Individual,Manual,Second Owner,Nissan,Terrano XL 85,PS
2770,2016,525000,105000,Diesel,Individual,Manual,Second Owner,Nissan,Terrano XL 85,PS
2771,2009,550000,182000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 V Diesel,7-seater
2772,2012,420000,95000,Diesel,Individual,Manual,Second Owner,Toyota,Corolla Altis Diesel,D4DJ
2773,2015,500000,70000,Petrol,Individual,Manual,First Owner,Honda,Amaze SX,i-VTEC
2774,2009,165000,76000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
2775,2014,650000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6,SX
2776,2013,195000,46000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LT
2777,1999,75000,70000,Petrol,Individual,Manual,First Owner,Maruti,Zen,LX
2780,2006,90000,90000,Petrol,Individual,Manual,First Owner,Maruti,Esteem Lxi -,BSIII
2781,2016,515000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi,Base
2782,2017,700000,24585,Diesel,Dealer,Manual,Test Drive Car,Honda,Jazz 1.5 VX i,DTEC
2783,2001,62000,70000,Petrol,Individual,Manual,First Owner,Maruti,Zen,LX
2784,2011,220000,110000,Diesel,Individual,Manual,Third Owner,Toyota,Etios GD,SP
2785,2019,520000,10000,CNG,Individual,Manual,First Owner,Hyundai,Santro Magna CNG,BSIV
2786,2010,170000,100000,Petrol,Individual,Manual,First Owner,Fiat,Linea,Emotion
2787,2011,190000,110000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,Titanium
2788,2011,150000,100000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,Titanium
2789,2009,125000,65000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo LXI BS,IV
2790,2015,290000,40000,Diesel,Individual,Manual,Third Owner,Honda,Amaze EX,i-Dtech
2791,2019,490000,13900,Petrol,Individual,Manual,First Owner,Maruti,Celerio X ZXI,BSIV
2792,2017,434999,17563,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XZ,Option
2793,2016,380000,15000,Petrol,Individual,Manual,First Owner,Tata,Zest Revotron 1.2T,XE
2794,2012,200000,82000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo Diesel Trendline,1.2L
2795,2016,495000,40000,Diesel,Individual,Manual,First Owner,Ford,Figo 1.5D Trend,MT
2796,2014,894999,173000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 Z Diesel 7 Seater BS,IV
2797,2014,600000,151000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500 W6,2WD
2798,2015,300000,50000,Petrol,Individual,Manual,First Owner,Honda,Brio S,MT
2799,2017,430000,15000,Petrol,Individual,Manual,First Owner,Honda,Amaze E,i-VTEC
2800,2017,370000,80000,Diesel,Individual,Manual,First Owner,Honda,Amaze E,i-DTEC
2801,2019,750000,11000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Zeta,1.2
2802,2016,300000,50000,CNG,Individual,Manual,First Owner,Maruti,Alto K10 LXI CNG,Optional
2803,2012,700000,120000,Diesel,Individual,Automatic,Second Owner,BMW,X1,sDrive20d
2804,2007,100000,70000,LPG,Individual,Manual,Third Owner,Maruti,Wagon R LXI DUO,BSIII
2805,2015,300000,90000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Sportz
2806,2012,130000,185000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Quadrajet,VX
2807,2016,650000,40000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta Option 1.4,CRDi
2808,2017,509999,25000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
2809,2013,1000000,117780,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 VX (Diesel) 7,Seater
2810,2010,280000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi,SX
2811,2017,600000,120000,Diesel,Individual,Manual,First Owner,Maruti,Swift DDiS,VDI
2812,2013,210000,120000,Diesel,Individual,Manual,Third Owner,Skoda,Rapid 1.6 TDI,Ambition
2813,2014,1150000,110000,Diesel,Individual,Automatic,Second Owner,Audi,Q3 2.0 TDI Quattro Premium,Plus
2815,2018,245000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
2817,2016,375000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Sportz
2818,2015,150000,55000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio 1.99,S10
2819,2018,1450000,20000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W10,2WD
2820,2014,500000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga,VDI
2821,2007,75000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
2822,2006,225000,80000,Petrol,Individual,Automatic,Third Owner,Hyundai,Sonata AT,Leather
2823,2006,275000,80000,Petrol,Individual,Automatic,Fourth & Above Owner,Hyundai,Sonata 2.4L,AT
2824,2018,620000,35000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
2825,2010,600000,110000,Diesel,Individual,Manual,Second Owner,Nissan,X-Trail SLX,MT
2826,2011,275000,160000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo E8 ABS Airbag,BSIV
2827,2013,125000,125000,Diesel,Individual,Manual,First Owner,Tata,Indigo,TDI
2828,2011,80000,62000,Petrol,Individual,Manual,Second Owner,Tata,Indigo,GLS
2829,2011,199000,120000,Diesel,Individual,Manual,Second Owner,Nissan,Micra Diesel,XV
2830,2016,440000,33000,Petrol,Individual,Manual,Second Owner,Nissan,Micra,XL
2831,2013,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Dzire,LDI
2832,2017,700000,35000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4,Sportz
2833,2015,450000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Asta,Option
2834,2019,240000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 Std,Optional
2836,2016,650000,81595,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 TDCi Titanium,BSIV
2837,2005,71000,22000,Petrol,Individual,Manual,First Owner,Hyundai,Getz GLS,ABS
2838,2015,400000,40000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI,Optional
2839,2008,130000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,BSIII
2840,2013,300000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio 2.6 CRDe,SLE
2841,2019,1100000,4000,Diesel,Individual,Manual,First Owner,Nissan,Kicks XL D,BSIV
2842,2015,2200000,24000,Diesel,Individual,Automatic,First Owner,BMW,3 Series 320d Luxury,Line
2843,2018,800000,13500,Petrol,Dealer,Manual,First Owner,Honda,Amaze VX,i-VTEC
2844,2013,490000,40000,Diesel,Individual,Manual,First Owner,Maruti,Ritz VDI (ABS) BS,IV
2845,2018,836000,9700,Petrol,Dealer,Manual,First Owner,Honda,Jazz 1.2 VX i,VTEC
2846,2012,375000,62000,Petrol,Individual,Manual,Second Owner,Volkswagen,Polo Petrol Comfortline,1.2L
2847,2016,1249000,24000,Diesel,Dealer,Manual,First Owner,Honda,BR-V i-DTEC VX,MT
2848,2019,1240000,13000,Diesel,Dealer,Manual,First Owner,Honda,WR-V i-DTEC,VX
2849,2009,35000,50000,Petrol,Individual,Manual,Third Owner,Tata,Nano Std,BSII
2850,2017,1068000,36000,Petrol,Dealer,Manual,First Owner,Honda,BR-V i-VTEC VX,MT
2851,2017,1189000,40000,Diesel,Dealer,Manual,First Owner,Honda,BR-V i-DTEC VX,MT
2852,2018,700000,27000,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Petrol Asta,Option
2853,2016,350000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,VXI
2854,2009,254999,80000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna,1.2
2855,2005,229999,221000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio 2.6,CRDe
2856,2016,750000,80000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta Option 1.4,CRDi
2857,2012,325000,119000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,VDi
2858,2009,760000,190000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G4 Diesel,7-seater
2859,2017,509999,25000,Petrol,Individual,Automatic,First Owner,Maruti,Celerio ZXI,AT
2860,2013,363000,28740,Petrol,Individual,Manual,First Owner,Nissan,Micra,XL
2861,2010,229999,48500,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,LXI
2862,2012,290000,110000,Petrol,Individual,Manual,Second Owner,Nissan,Sunny,XL
2863,2018,550000,30000,Petrol,Individual,Manual,First Owner,Maruti,Swift,VXI
2864,2011,125000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista TDI,LX
2865,2014,2000000,130000,Diesel,Individual,Automatic,First Owner,Volvo,XC60 D5,Inscription
2866,2008,350000,140000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G4 Diesel,7-seater
2867,2011,390000,90000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX CRDi,(O)
2872,2015,220000,45000,Petrol,Individual,Manual,First Owner,Maruti,Celerio,VXI
2873,2005,140000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing,XG
2874,2018,370000,15000,Petrol,Individual,Automatic,First Owner,Maruti,Wagon R AMT VXI,Option
2875,2019,650000,20000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2876,2017,280000,37000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LX
2877,2016,540000,80000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2878,2002,50000,120000,Diesel,Individual,Manual,Fourth & Above Owner,Ambassador,Classic 2000,Dsz
2879,2018,800000,20000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz Sigma,BSIV
2880,2016,515000,25000,Diesel,Individual,Manual,First Owner,Ford,Figo 1.5D Titanium,MT
2881,2010,220000,96000,Petrol,Individual,Manual,Third Owner,Hyundai,i20 1.2,Magna
2883,2013,165000,53000,Petrol,Dealer,Manual,First Owner,Chevrolet,Spark 1.0 LT Option Pack w/,Airbag
2884,2010,221000,65000,Diesel,Dealer,Manual,First Owner,Fiat,Linea 1.3,Emotion
2885,2015,245000,43000,Petrol,Dealer,Manual,First Owner,Chevrolet,Beat,LT
2886,2012,260000,42000,Petrol,Dealer,Manual,First Owner,Ford,Figo 1.2P Titanium Plus,MT
2887,2011,550000,73000,Diesel,Dealer,Automatic,First Owner,Skoda,Superb Elegance 2.0 TDI CR,AT
2888,2015,434999,29000,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa,Era
2889,2013,450000,95000,Diesel,Dealer,Manual,First Owner,Tata,Safari Storme,EX
2890,2014,290000,25000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2,Base
2891,2011,305000,53000,Petrol,Dealer,Manual,Second Owner,Volkswagen,Vento 1.0 TSI Highline,Plus
2892,2011,265000,20000,Petrol,Dealer,Manual,First Owner,Ford,Classic 1.6 Duratec,LXI
2893,2014,325000,57000,Petrol,Dealer,Manual,First Owner,Honda,Brio 1.2 S,MT
2894,2014,550000,52000,Diesel,Dealer,Manual,First Owner,Chevrolet,Cruze,LTZ
2895,2008,105000,40000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo LXI,BSIII
2896,2012,275000,47000,Petrol,Dealer,Manual,First Owner,Honda,Brio 1.2 S,MT
2897,2012,434999,47000,Petrol,Dealer,Manual,Second Owner,Honda,City 1.5 V,MT
2898,2016,690000,73000,Diesel,Dealer,Manual,First Owner,Hyundai,Verna 1.6 CRDi,SX
2899,2012,249000,42000,Petrol,Dealer,Manual,Second Owner,Honda,Brio V,MT
2900,2012,204999,60000,Petrol,Dealer,Manual,Third Owner,Hyundai,EON D Lite,Plus
2902,2015,190000,120000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI,Optional
2903,2012,150000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
2904,1999,70000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Zen,LX
2905,2018,900000,25000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
2906,2019,950000,11000,Petrol,Individual,Automatic,First Owner,Maruti,Ertiga ZXI AT,Petrol
2907,2013,475000,80000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire,VXI
